"","YMD","Year.x","Transect","Area.x","AreaTP","AreaYear","TimePeriod.x","doy","Year.y","TimePeriod.y","Area.y","Count"
"22","2018-06-27","2018","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",178,"2018","Pre","Macassa Bay",8
"23","2018-08-09","2018","HH50","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",221,"2018","Pre","Piers 5-7",10
"24","2018-08-09","2018","HH51","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",221,"2018","Pre","Piers 5-7",20
"25","2018-08-09","2018","HH52","Construction Site","Construction Site-Pre","Construction Site-2018","Pre",221,"2018","Pre","Construction Site",3
"26","2018-08-09","2018","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",221,"2018","Pre","Piers 5-7",1
"27","2018-08-09","2018","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",221,"2018","Pre","Macassa Bay",11
"28","2018-08-09","2018","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",221,"2018","Pre","Macassa Bay",5
"29","2018-10-11","2018","HH50","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",284,"2018","Pre","Piers 5-7",36
"30","2018-10-11","2018","HH51","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",284,"2018","Pre","Piers 5-7",44
"31","2018-10-11","2018","HH52","Construction Site","Construction Site-Pre","Construction Site-2018","Pre",284,NA,NA,NA,NA
"32","2018-10-11","2018","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",284,NA,NA,NA,NA
"33","2018-10-11","2018","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",284,NA,NA,NA,NA
"34","2018-10-11","2018","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,NA,NA,NA,NA
"35","2018-10-11","2018","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,NA,NA,NA,NA
"36","2018-10-11","2018","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,NA,NA,NA,NA
"37","2018-10-11","2018","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,NA,NA,NA,NA
"38","2018-10-11","2018","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,NA,NA,NA,NA
"39","2018-10-11","2018","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,NA,NA,NA,NA
"40","2019-05-21","2019","HH50","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",141,"2019","Pre","Piers 5-7",14
"41","2019-05-21","2019","HH51","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",141,"2019","Pre","Piers 5-7",10
"42","2019-05-21","2019","HH52","Construction Site","Construction Site-Pre","Construction Site-2019","Pre",141,"2019","Pre","Construction Site",3
"43","2019-05-21","2019","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",141,"2019","Pre","Piers 5-7",28
"44","2019-05-21","2019","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",141,"2019","Pre","Piers 5-7",9
"45","2019-05-23","2019","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,"2019","Pre","Macassa Bay",26
"46","2019-05-23","2019","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,"2019","Pre","Macassa Bay",15
"47","2019-05-23","2019","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,"2019","Pre","Macassa Bay",11
"48","2019-05-23","2019","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,"2019","Pre","Macassa Bay",5
"49","2019-05-23","2019","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,"2019","Pre","Macassa Bay",11
"50","2019-05-23","2019","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,"2019","Pre","Macassa Bay",19
"51","2019-06-11","2019","HH52","Construction Site","Construction Site-Pre","Construction Site-2019","Pre",162,"2019","Pre","Construction Site",15
"52","2019-06-11","2019","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",162,"2019","Pre","Piers 5-7",21
"53","2019-06-11","2019","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",162,"2019","Pre","Piers 5-7",10
"54","2019-06-12","2019","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",163,"2019","Pre","Macassa Bay",24
"55","2019-06-12","2019","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",163,"2019","Pre","Macassa Bay",6
"56","2019-06-13","2019","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",164,NA,NA,NA,NA
"57","2019-06-17","2019","HH50","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",168,"2019","Pre","Piers 5-7",33
