Sample,Location,Transect,Date,Time,Estimate,F0014,F0041,F0051,F0061,F0063,F0073,F0075,F0076,F0078,F0081,F0121,F0131,F0163,F0166,F0168,F0170,F0171,F0177,F0181,F0186,F0194,F0196,F0198,F0201,F0203,F0208,F0209,F0220,F0231,F0233,F0234,F0236,F0251,F0282,F0291,F0301,F0302,F0311,F0312,F0313,F0314,F0316,F0317,F0319,F0320,F0331,F0334,F0341,F0342,F0361,F0366,F0371,F0601,F0702,Time Period
1615,HAMH,HH26,1988-06-09,8:21:00 PM,N,,,,153,,,8,,,,,,,,,,,,,5160,,59,,,,,,,,875,,,,,,66,,,,,,,,,,2,,,,,,,,,1
1616,HAMH,HH24,1988-06-09,8:49:00 PM,N,,,,98,,,,,,,,,4760,,,,,,,,,,,,,,,,,230,,,1860,,,321,,,,,,,,,,192,,,,,,,,,1
1617,HAMH,HH22,1988-06-09,9:15:00 PM,N,,,,1758,,,,,,,,,1130,,,,,,,,,50,,,,,,,,473,,,,,,1729,,,,,,,275,,,,,,,,,,,,3
1618,HAMH,HH20,1988-06-09,10:08:00 PM,N,,,,1527,,,10,,,,14,,854,,,,,,,,,254,,13,,,,,,1031,,,,,,1669,,,,110,,,,,,1044,,,,,,,,,2
1619,HAMH,HH18,1988-06-12,4:15:00 PM,N,,,,103,,,5,,,,,5540,,,,,,,,,,,,,,,,,,1108,,,,,,,,,,40,,,,,,30,,,,,,,,,1
1620,HAMH,HH16,1988-06-12,8:00:00 PM,N,,,,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,72,,,,,,,,,,,,,,,1
1621,HAMH,HH14,1988-06-12,8:20:00 PM,N,,,,2082,430,,,,,,,,,,,,,,,,,171.5,,,,,,,,,,,,,,438,,,,,,,,,,,,,,,,,,,1
1622,HAMH,HH12,1988-06-12,9:00:00 PM,N,,,,4668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,471,,,,,,,,,,,,,,,,,,3
1623,HAMH,HH10,1988-06-12,9:30:00 PM,N,,,,730,,,,,,,,,,,,,,,,,,18,,,,,,,,864,,,,,,4550,,,,,,,,,,85.8,,,,,,,,,3
1624,HAMH,HH8,1988-06-12,10:15:00 PM,N,,,,1235.8,,,6,,,,,,1249.5,,,,,,,,,328,,,,,,,,,,,,,,2634,,,,,,,,,,1073,,,,,,,,,2
1625,HAMH,HH6,1988-06-14,4:10:00 PM,N,,,,,,,,,,,,,,,,,,,,4600,,,,,,,,,,6467,,,,,,,,,,,,,,,,,,,,,,,,,1
1626,HAMH,HH2,1988-06-14,4:32:00 PM,N,,,,,985,,,,,,,,,,,,,,,10840,,,,,,,,,,,,,1400,,,,,,,46,,,,,,,,,,,,,,,1
1627,HAMH,HH4,1988-06-14,4:47:00 PM,N,,,,,1460,,,,,,,,,,,,,,,17800,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,1
1628,HAMH,HH39,1988-06-14,5:19:00 PM,N,,,,3417,,,,,,,,,,,,,,,760,9660,,,,,,,,,,250,,,,,,698,,,,,,,,,,,,,,,,,,,1
